#g	r	J	Ks	W1	W2	W3	W4
23.914	23.643	0.000	0.000	18.020	16.382	13.933	14.028
21.905	20.850	19.256	18.379	17.827	17.760	14.560	12.938
27.406	26.975	22.824	21.235	19.343	18.403	15.189	13.762
23.164	21.819	0.000	0.000	17.642	16.957	14.154	13.387
24.451	24.189	0.000	20.682	20.985	19.773	16.012	14.122
24.248	23.861	0.000	0.000	20.283	19.309	15.369	14.135
22.495	21.976	0.000	0.000	19.253	17.822	15.240	13.691
25.530	25.121	21.965	21.810	19.613	18.301	14.836	13.696
22.148	21.940	21.526	20.655	20.038	19.285	15.654	14.341
24.598	24.731	0.000	0.000	18.257	17.131	14.646	13.810
26.277	25.319	22.012	20.857	19.917	17.802	14.580	13.964
22.906	22.392	21.264	20.165	18.153	16.988	14.172	13.565
24.754	24.358	21.997	20.631	19.350	17.929	15.185	14.054
27.230	27.931	0.000	0.000	19.418	18.750	15.077	13.643
24.087	23.835	22.142	21.335	19.261	18.498	15.259	13.556
